Advertising Principles	10:20:00 AM	11:20:00 AM	Gao (Zhihong)
Interactive Advertising	02:50:00 PM	04:20:00 PM	Gao (Zhihong)
Accounting Info Systems	04:30:00 PM	06:00:00 PM	Gardner (Robert)
Contexts Of Schoolng	08:00:00 AM	02:00:00 PM	Garrett (Tracey)
Effective Classroom Management	01:10:00 PM	04:10:00 PM	Garrett (Tracey)
Acting IV: Styles of Acting	02:50:00 PM	04:20:00 PM	Gill (Carter P.)
Intermediate Macroeconomics	09:45:00 AM	11:15:00 AM	Gishlick (Herbert E.)
Principles of Microeconomics	01:10:00 PM	02:40:00 PM	Gishlick (Herbert E.)
Social & Legal Environment Bus	09:10:00 AM	10:10:00 AM	Goldberg (Ilene V.)
Social & Legal Environment Bus	10:20:00 AM	11:20:00 AM	Goldberg (Ilene V.)
Intro Seminar in Law & Justice	11:30:00 AM	12:30:00 PM	Goldberg (Ilene V.)
Musical Theatre Practicum	01:10:00 PM	02:40:00 PM	Goldberg (Louis F.)
Food Writing	01:10:00 PM	02:40:00 PM	Goldie (Matthew B.)
History of the Eng Language	02:50:00 PM	04:20:00 PM	Goldie (Matthew B.)
Expository Writing	10:20:00 AM	11:20:00 AM	Goldstein (Selma)
Expository Writing	11:30:00 AM	12:30:00 PM	Goldstein (Selma)
Sensation and Perception	09:45:00 AM	11:15:00 AM	Golski (Stephanie)
Resrch Methds Human Cog Neuro	01:10:00 PM	04:10:00 PM	Golski (Stephanie)
Human Cognitive Neuro Lab	01:10:00 PM	04:10:00 PM	Golski (Stephanie)
Globl Supply Chn Mgt: Internal	01:10:00 PM	02:40:00 PM	Gong (Linguo)
Production and Operations	02:50:00 PM	04:20:00 PM	Gong (Linguo)
Quantitative Methods Lab	01:10:00 PM	04:10:00 PM	Grushow (Alexander)
Physical Chemistry Laboratory	01:10:00 PM	04:10:00 PM	Grushow (Alexander)
Speech Communication	10:20:00 AM	11:20:00 AM	Gutin (Myra G.)
Nonverbal Communication	11:30:00 AM	12:30:00 PM	Gutin (Myra G.)
Supply Chain Strategy & Design	01:10:00 PM	02:40:00 PM	Haksever (Cengiz)
Production and Operations	02:50:00 PM	04:20:00 PM	Haksever (Cengiz)
Acting II: Scene Study	02:50:00 PM	04:20:00 PM	Halladay (Christopher)
Cultural Anthropology	01:10:00 PM	02:40:00 PM	Halpern (Jeffrey R.)
Research Writing	10:20:00 AM	11:20:00 AM	Harris (Laurel E.)
Research Writing	11:30:00 AM	12:30:00 PM	Harris (Laurel E.)
Contemporary British Lit	01:10:00 PM	02:40:00 PM	Harris (Laurel E.)
Senior Seminar	09:45:00 AM	11:15:00 AM	Haught (Catrinel)
Statistics and Research Design	01:10:00 PM	02:40:00 PM	Haught (Catrinel)
Statistics and Research Design	02:50:00 PM	04:20:00 PM	Haught (Catrinel)
Expository Writing	02:50:00 PM	04:20:00 PM	Haydel (Nina J.)
Accounting Info Systems	09:00:00 AM	12:00:00 PM	Haywood-Sullivan (Mary E.)
Introduction to Research in Ps	10:20:00 AM	11:20:00 AM	Heath (Wendy P.)
Introduction to Research in Ps	11:30:00 AM	12:30:00 PM	Heath (Wendy P.)
Arts Admin Lab	10:20:00 AM	11:20:00 AM	Heidelberg (Brea M.)
Arts Practicum I - Patron Svcs	11:30:00 AM	12:30:00 PM	Heidelberg (Brea M.)
Arts Practicum II - Svc/Field	01:10:00 PM	02:10:00 PM	Heidelberg (Brea M.)
Arts Outreach & Education	02:50:00 PM	04:20:00 PM	Heidelberg (Brea M.)
Serv Learn Thru Mind Our Bus	02:50:00 PM	04:20:00 PM	Hernandez (Sigfredo A.)
Grammar and Style	01:10:00 PM	02:40:00 PM	Hess (Mickey S.)
Intro to American Studies	02:50:00 PM	04:20:00 PM	Hess (Mickey S.)
Teach Science Middle Schl	01:10:00 PM	03:20:00 PM	Hester (Peter R.)
Introduction to News Writing	09:10:00 AM	10:10:00 AM	Hirsch (Gerald T.)
Speech Communication	02:50:00 PM	04:20:00 PM	Howard (Sheena)
Native American History	09:45:00 AM	11:15:00 AM	Hunter (Brooke B.)
The American Revolution	01:10:00 PM	02:40:00 PM	Hunter (Brooke B.)
U.S. History I	02:50:00 PM	04:20:00 PM	Hunter (Brooke B.)
Hist of Amer Musical Theatre	11:30:00 AM	12:30:00 PM	Hurwitz (Nathan)
Musical Theatre Scene Study I	02:50:00 PM	04:20:00 PM	Hurwitz (Nathan)
Musical Theater Repertoire II	02:50:00 PM	04:20:00 PM	Hurwitz (Nathan)
Environmental Geology	10:20:00 AM	11:20:00 AM	Husch (Jonathan M.)
Petrology and Petrography	01:10:00 PM	02:40:00 PM	Husch (Jonathan M.)
Petrology & Petrography Lab	02:50:00 PM	05:50:00 PM	Husch (Jonathan M.)
Feature Writing	09:45:00 AM	11:15:00 AM	Incollingo (J. J.)
In-Depth Reporting	02:50:00 PM	04:20:00 PM	Incollingo (J. J.)
Organic Chemistry II	11:30:00 AM	12:30:00 PM	Jacobs Duda (Danielle)
Physical Organic Chemistry	02:50:00 PM	04:20:00 PM	Jacobs Duda (Danielle)
Physical Organ Che Lab	06:30:00 PM	09:30:00 PM	Jacobs Duda (Danielle)
Fundamentals of Video Productn	08:15:00 AM	11:15:00 AM	Janes (Barry T.)
Fundamentals of Video Productn	01:10:00 PM	02:40:00 PM	Janes (Barry T.)
Broadcast Programming	02:50:00 PM	04:20:00 PM	Janes (Barry T.)
Seminar in Behav Neuroscience	09:45:00 AM	11:15:00 AM	Jivoff (Paul R.)
Behav Mar Org: Evol Approach	01:10:00 PM	04:10:00 PM	Jivoff (Paul R.)
Principles of Biology II	08:00:00 AM	09:00:00 AM	Jivoff (Paul R.)|Hyatt (Laura A.)
Principles of Biology II	09:10:00 AM	10:10:00 AM	Jivoff (Paul R.)|Hyatt (Laura A.)
Publicity Methods	06:30:00 PM	09:30:00 PM	Joffe (Howard H.)
Information Systems Essential	08:00:00 AM	09:30:00 AM	Johnson (Carol A.)
Sp Top/Dance: Tap IV	08:00:00 AM	09:00:00 AM	Johnson Thick (Julia A.)
Tap Dance II	09:10:00 AM	10:10:00 AM	Johnson Thick (Julia A.)
Victorian Literature 1830-1900	10:20:00 AM	11:20:00 AM	Joseph (Terra W.)
Monsters in Literature	11:30:00 AM	12:30:00 PM	Joseph (Terra W.)
Expository Writing	01:10:00 PM	02:40:00 PM	Joseph (Terra W.)
Behavioral Neuroscience	09:45:00 AM	11:15:00 AM	Karp (Jonathan D.)
Biostatistics	11:30:00 AM	12:30:00 PM	Karp (Jonathan D.)
Behav Neuroscience Lab	01:10:00 PM	04:10:00 PM	Karp (Jonathan D.)
Behav Neuroscience Lab	01:10:00 PM	04:10:00 PM	Karp (Jonathan D.)
Biostatistics Lab	01:10:00 PM	04:10:00 PM	Karp (Jonathan D.)
The Co-op Experience Seminar	01:00:00 PM	04:00:00 PM	Kasrel (Mark)
Research Writing	02:50:00 PM	04:20:00 PM	Kelley (Thomas E.)
Managerial Uses of Accounting	11:30:00 AM	01:00:00 PM	Kennedy (Michael B.)
Television Field Production	08:15:00 AM	11:15:00 AM	Kildea (Shawn P.)
Television Production	08:20:00 AM	11:20:00 AM	Kildea (Shawn P.)
Radio & TV Communication	01:10:00 PM	02:40:00 PM	Kildea (Shawn P.)
Fund Management & Org Behavior	01:10:00 PM	02:40:00 PM	Kim (Hee Young)
International Marketing	09:45:00 AM	11:15:00 AM	Kim (Joe H.)
Marketing Principles	02:50:00 PM	04:20:00 PM	Kim (Joe H.)
Intro to American Politics	09:45:00 AM	11:15:00 AM	Kornberg (Harvey R.)
Civil Liberties in the US	10:20:00 AM	11:20:00 AM	Kornberg (Harvey R.)
Civil Liberties in the U.S.	10:20:00 AM	11:20:00 AM	Kornberg (Harvey R.)
The Judicial Process	11:30:00 AM	12:30:00 PM	Kornberg (Harvey R.)
The Judicial Process	11:30:00 AM	12:30:00 PM	Kornberg (Harvey R.)
Intro to American Politics	01:10:00 PM	02:40:00 PM	Kornberg (Harvey R.)
Intro to American Politics	01:10:00 PM	02:40:00 PM	Kornberg (Harvey R.)
Employee Engagement	11:30:00 AM	01:00:00 PM	Kutcher (Eugene)
Intro to Human Resource Mgmt	02:50:00 PM	04:20:00 PM	Kutcher (Eugene)
Research Writing	09:10:00 AM	10:10:00 AM	Lasser (Fred)
Research Writing	10:20:00 AM	11:20:00 AM	Lasser (Fred)
Research Writing	11:30:00 AM	12:30:00 PM	Lasser (Fred)
Expository Writing	01:10:00 PM	02:40:00 PM	Lee (Jennifer C.)
Expository Writing	02:50:00 PM	04:20:00 PM	Lee (Jennifer C.)
International Management	09:45:00 AM	11:15:00 AM	Lentz (Christine)
Expository Writing	09:45:00 AM	11:15:00 AM	Levy (Frank)
Expository Writing	01:10:00 PM	02:40:00 PM	Levy (Frank)
Musical Theatre Dance II	02:50:00 PM	04:20:00 PM	Lewis (Robin W.)
Introduction to Finance	01:10:00 PM	02:40:00 PM	Liu (Feng-Ying)
Personal Financial Planning	01:10:00 PM	02:40:00 PM	Liu (Feng-Ying)
Introduction to Finance	02:50:00 PM	04:20:00 PM	Liu (Feng-Ying)
Research Writing	01:10:00 PM	02:40:00 PM	Losi (Maxim J.)
Research Writing	02:50:00 PM	04:20:00 PM	Losi (Maxim J.)
Life Sci: Behav Neurosci Emph	10:20:00 AM	11:20:00 AM	Lowrey (Phillip L.)
Neuroethology Lab	01:10:00 PM	04:10:00 PM	Lowrey (Phillip L.)
Honors Seminar:Great Ideas II	09:45:00 AM	11:15:00 AM	Lowrey (Phillip L.)|Salvatore (Anne T.)
Writing for the Comm Professns	10:20:00 AM	11:20:00 AM	Magrino (Katherine G.)
Writing for the Media	06:30:00 PM	09:30:00 PM	Magrino (Katherine G.)
Calculus I	08:00:00 AM	09:00:00 AM	Markoe (Andrew)
Top/AdvMth:Field Theo&Clas Pro	10:20:00 AM	11:20:00 AM	Markoe (Andrew)
Calculus I	11:30:00 AM	12:30:00 PM	Markoe (Andrew)
Expository Writing	10:20:00 AM	11:20:00 AM	Marshall (Nowell A.)
Methods of Literary Analysis	11:30:00 AM	12:30:00 PM	Marshall (Nowell A.)
Posthumanism: Bodies and Tech	01:10:00 PM	02:40:00 PM	Marshall (Nowell A.)
Spanish I	09:45:00 AM	11:15:00 AM	Materna (Linda S.)
Masterworks of Western Lit II	01:10:00 PM	02:40:00 PM	Materna (Linda S.)
Literary History I	09:45:00 AM	11:15:00 AM	Maynard (Katherine K.)
Literary History II	01:10:00 PM	02:40:00 PM	Maynard (Katherine K.)
Literary History II	02:50:00 PM	04:20:00 PM	Maynard (Katherine K.)
Principles of Microeconomics	08:00:00 AM	09:00:00 AM	McCall (Charles W.)
Economics of Sports	09:10:00 AM	10:10:00 AM	McCall (Charles W.)
Society&indiv. With Disabiliti	08:15:00 AM	11:15:00 AM	McConville (Sue E.)
Ass. & Instr. in Inclusive Clr	11:30:00 AM	01:00:00 PM	McConville (Sue E.)
Calculus II	11:30:00 AM	12:30:00 PM	McCullough (Jason G.)
Complex Analysis	01:10:00 PM	02:40:00 PM	McCullough (Jason G.)
Writing for the Media	11:30:00 AM	12:30:00 PM	McKinley (E. Graham)
Multimedia Prod I-Inter Design	01:10:00 PM	02:40:00 PM	McKinley (E. Graham)
Multimedia Prod I-Inter Design	02:50:00 PM	04:20:00 PM	McKinley (E. Graham)
Fostering Lang & Literacy Dev	08:00:00 AM	10:59:00 AM	McKool (Sharon S.)
